Record_ID,Month,Installation,Building_Number,Region,Housing_Type,Design_Category_Code,Total_Beds,Occupied_Beds,Vacant_Beds,Net_Use_Percent,Condition_Score,Open_Work_Orders,Priority_Level,Data_Quality_Flag
1001,2025-01-01,Fort Adams,BLDG-101,CONUS,Transient Training,72116,100,97,3,97.0,72,3,Low,Cleaned
1002,2025-01-01,Fort Adams,BLDG-102,CONUS,Training - AIT,72115,150,122,28,81.33,61,6,Medium,Cleaned
1003,2025-01-01,Fort Adams,BLDG-103,CONUS,Transient Training,72116,100,88,12,88.0,57,18,Medium,Cleaned
1004,2025-01-01,Fort Adams,BLDG-104,CONUS,Permanent Party Enlisted,72111,100,75,25,75.0,87,19,Medium,Cleaned
1005,2025-01-01,Fort Adams,BLDG-105,CONUS,PP Officer,72114,80,78,2,97.5,96,0,Low,Cleaned
1006,2025-01-01,Fort Adams,BLDG-106,CONUS,Transient Training,72116,250,250,0,100.0,92,4,Low,Cleaned
1007,2025-01-01,Fort Adams,BLDG-107,CONUS,Training - Basic,72112,80,61,19,76.25,65,12,Medium,Cleaned
1008,2025-01-01,Fort Adams,BLDG-108,CONUS,Transient Training,72116,250,222,28,88.8,64,8,Low,Cleaned
1009,2025-01-01,Fort Adams,BLDG-109,CONUS,Training - AIT,72115,200,171,29,85.5,79,20,Medium,Cleaned
1010,2025-01-01,Fort Adams,BLDG-110,OCONUS,Permanent Party Enlisted,72111,200,162,38,81.0,93,9,Medium,Cleaned
1011,2025-01-01,Fort Adams,BLDG-111,CONUS,Training - Basic,72112,80,72,8,90.0,89,5,Low,Cleaned
1012,2025-01-01,Fort Adams,BLDG-112,CONUS,Permanent Party Enlisted,72111,250,215,35,86.0,73,13,Low,Cleaned
1013,2025-01-01,Fort Mason,BLDG-201,CONUS,Transient Training,72116,200,126,74,63.0,59,25,High,Cleaned
1014,2025-01-01,Fort Mason,BLDG-202,CONUS,Permanent Party Enlisted,72111,150,121,29,80.67,60,15,Medium,Cleaned
1015,2025-01-01,Fort Mason,BLDG-203,CONUS,Training - AIT,72115,100,79,21,79.0,84,6,Medium,Cleaned
1016,2025-01-01,Fort Mason,BLDG-204,CONUS,Transient Training,72116,200,188,12,94.0,77,11,Low,Cleaned
1017,2025-01-01,Fort Mason,BLDG-205,CONUS,Training - AIT,72115,180,174,6,96.67,98,6,Low,Cleaned
1018,2025-01-01,Fort Mason,BLDG-206,CONUS,Transient Training,72116,100,82,18,82.0,65,14,Medium,Cleaned
1019,2025-01-01,Fort Mason,BLDG-207,CONUS,PP Officer,72114,150,135,15,90.0,79,10,Low,Cleaned
