Requisition_ID,Fiscal_Year,Office,Job_Series,Grade_Level,Applicants,Qualified_Applicants,Interviewed,Selected,Time_To_Fill_Days,Hiring_Stage,Vacancy_Type,Location,Qualification_Rate,Interview_Rate,Selection_Rate
REQ-1001,FY2025,Operations,0343 Management Analyst,GS-13,218,133,58,7,128,Open,Backfill,Remote,61.01,43.61,12.07
REQ-1002,FY2024,Human Resources,0301 Program Analyst,GS-9,174,102,35,6,88,Selected,New Position,"Washington, DC",58.62,34.31,17.14
REQ-1003,FY2025,Finance,0201 HR Specialist,GS-9,248,152,42,8,91,Review,Temporary Surge,"Arlington, VA",61.29,27.63,19.05
REQ-1004,FY2026,Finance,0343 Management Analyst,GS-11,282,174,27,4,40,Open,Temporary Surge,"Baltimore, MD",61.7,15.52,14.81
REQ-1005,FY2025,Finance,1515 Operations Research Analyst,GS-13,300,138,48,4,119,Selected,New Position,Hybrid,46.0,34.78,8.33
REQ-1006,FY2024,Human Resources,0501 Financial Analyst,GS-12,348,95,32,3,95,Selected,New Position,"Baltimore, MD",27.3,33.68,9.38
REQ-1007,FY2024,Program Management,0501 Financial Analyst,GS-13,177,48,9,2,86,Selected,New Position,Remote,27.12,18.75,22.22
REQ-1008,FY2025,Human Resources,0201 HR Specialist,GS-9,263,99,44,10,37,Open,New Position,Hybrid,37.64,44.44,22.73
REQ-1009,FY2025,Human Resources,0301 Program Analyst,GS-13,190,115,35,7,93,Cancelled,Backfill,Hybrid,60.53,30.43,20.0
REQ-1010,FY2026,Operations,0343 Management Analyst,GS-12,342,150,51,12,49,Open,Backfill,"Baltimore, MD",43.86,34.0,23.53
REQ-1011,FY2026,Policy,1515 Operations Research Analyst,GS-13,315,145,51,3,56,Interview,New Position,"Baltimore, MD",46.03,35.17,5.88
REQ-1012,FY2024,Policy,2210 IT Specialist,GS-9,347,114,18,5,62,Interview,Backfill,"Washington, DC",32.85,15.79,27.78
REQ-1013,FY2024,Program Management,0343 Management Analyst,GS-9,336,101,42,7,110,Cancelled,Temporary Surge,Remote,30.06,41.58,16.67
REQ-1014,FY2024,Policy,0301 Program Analyst,GS-9,334,148,43,12,57,Selected,Backfill,Hybrid,44.31,29.05,27.91
REQ-1015,FY2024,Finance,0501 Financial Analyst,GS-12,345,208,60,9,112,Selected,Backfill,Remote,60.29,28.85,15.0
REQ-1016,FY2026,IT Services,2210 IT Specialist,GS-11,103,31,10,3,100,Review,New Position,"Arlington, VA",30.1,32.26,30.0
REQ-1017,FY2024,IT Services,0201 HR Specialist,GS-12,183,96,41,3,125,Selected,Temporary Surge,"Washington, DC",52.46,42.71,7.32
REQ-1018,FY2026,IT Services,2210 IT Specialist,GS-13,215,102,32,9,125,Review,New Position,Hybrid,47.44,31.37,28.12
REQ-1019,FY2024,Finance,1515 Operations Research Analyst,GS-12,89,23,4,1,60,Review,New Position,"Washington, DC",25.84,17.39,25.0
REQ-1020,FY2026,Policy,0201 HR Specialist,GS-11,186,62,19,3,92,Open,Temporary Surge,Hybrid,33.33,30.65,15.79
REQ-1021,FY2024,Program Management,0501 Financial Analyst,GS-13,234,81,31,8,71,Selected,Temporary Surge,"Baltimore, MD",34.62,38.27,25.81
REQ-1022,FY2025,Operations,1515 Operations Research Analyst,GS-12,317,86,31,3,134,Selected,Temporary Surge,Hybrid,27.13,36.05,9.68
REQ-1023,FY2026,Human Resources,0301 Program Analyst,GS-11,343,113,41,4,92,Open,Temporary Surge,Hybrid,32.94,36.28,9.76
REQ-1024,FY2025,Human Resources,2210 IT Specialist,GS-13,96,38,10,2,51,Open,Temporary Surge,"Arlington, VA",39.58,26.32,20.0
REQ-1025,FY2025,Program Management,0201 HR Specialist,GS-12,55,17,4,0,113,Selected,New Position,"Baltimore, MD",30.91,23.53,0.0
REQ-1026,FY2026,IT Services,0501 Financial Analyst,GS-9,304,103,19,1,99,Open,Backfill,"Arlington, VA",33.88,18.45,5.26
REQ-1027,FY2025,IT Services,1515 Operations Research Analyst,GS-9,144,74,17,2,131,Interview,New Position,"Baltimore, MD",51.39,22.97,11.76
REQ-1028,FY2026,Finance,0501 Financial Analyst,GS-9,263,91,30,8,66,Cancelled,Backfill,"Baltimore, MD",34.6,32.97,26.67
REQ-1029,FY2026,Program Management,0501 Financial Analyst,GS-9,311,168,22,4,133,Review,Backfill,"Arlington, VA",54.02,13.1,18.18
REQ-1030,FY2024,Policy,0343 Management Analyst,GS-11,199,91,39,4,133,Interview,Temporary Surge,"Arlington, VA",45.73,42.86,10.26
REQ-1031,FY2026,Human Resources,1515 Operations Research Analyst,GS-11,252,147,28,7,129,Selected,New Position,Remote,58.33,19.05,25.0
REQ-1032,FY2026,Operations,2210 IT Specialist,GS-13,204,54,8,1,67,Interview,Backfill,Remote,26.47,14.81,12.5
REQ-1033,FY2026,IT Services,0343 Management Analyst,GS-9,242,102,13,3,103,Open,Temporary Surge,"Washington, DC",42.15,12.75,23.08
REQ-1034,FY2025,Program Management,0501 Financial Analyst,GS-13,218,135,21,5,73,Interview,Temporary Surge,"Washington, DC",61.93,15.56,23.81
REQ-1035,FY2026,Operations,2210 IT Specialist,GS-12,277,87,17,4,104,Review,New Position,Hybrid,31.41,19.54,23.53
REQ-1036,FY2024,Finance,0301 Program Analyst,GS-12,319,98,13,3,85,Interview,New Position,Remote,30.72,13.27,23.08
REQ-1037,FY2024,Policy,0201 HR Specialist,GS-9,297,91,16,3,67,Review,Temporary Surge,Remote,30.64,17.58,18.75
REQ-1038,FY2025,Finance,2210 IT Specialist,GS-11,316,88,30,3,60,Selected,Temporary Surge,"Arlington, VA",27.85,34.09,10.0
REQ-1039,FY2025,Policy,0201 HR Specialist,GS-11,86,31,4,1,77,Interview,Temporary Surge,Hybrid,36.05,12.9,25.0
REQ-1040,FY2024,Policy,1515 Operations Research Analyst,GS-13,221,127,55,5,75,Review,Backfill,"Baltimore, MD",57.47,43.31,9.09
REQ-1041,FY2025,Program Management,0201 HR Specialist,GS-9,103,54,12,2,92,Review,New Position,Hybrid,52.43,22.22,16.67
REQ-1042,FY2026,Policy,0343 Management Analyst,GS-9,76,45,18,2,103,Review,New Position,Hybrid,59.21,40.0,11.11
REQ-1043,FY2026,Finance,0201 HR Specialist,GS-13,50,29,9,2,62,Selected,Temporary Surge,"Arlington, VA",58.0,31.03,22.22
REQ-1044,FY2026,IT Services,0343 Management Analyst,GS-13,222,90,37,7,72,Open,Backfill,Hybrid,40.54,41.11,18.92
REQ-1045,FY2026,Operations,0501 Financial Analyst,GS-11,40,21,8,2,113,Selected,New Position,Hybrid,52.5,38.1,25.0
REQ-1046,FY2024,Operations,0501 Financial Analyst,GS-11,324,166,73,17,96,Selected,New Position,"Baltimore, MD",51.23,43.98,23.29
REQ-1047,FY2025,Human Resources,0343 Management Analyst,GS-12,224,77,26,5,81,Review,New Position,Hybrid,34.38,33.77,19.23
REQ-1048,FY2025,Finance,0201 HR Specialist,GS-9,175,102,21,4,57,Review,Temporary Surge,"Baltimore, MD",58.29,20.59,19.05
REQ-1049,FY2025,IT Services,0343 Management Analyst,GS-11,227,145,28,4,79,Interview,Backfill,"Arlington, VA",63.88,19.31,14.29
REQ-1050,FY2026,Policy,0343 Management Analyst,GS-11,152,43,14,1,58,Open,Backfill,"Baltimore, MD",28.29,32.56,7.14
REQ-1051,FY2025,Human Resources,0301 Program Analyst,GS-9,93,41,11,1,55,Selected,New Position,Hybrid,44.09,26.83,9.09
REQ-1052,FY2024,Finance,0301 Program Analyst,GS-13,338,106,35,2,108,Open,Temporary Surge,Hybrid,31.36,33.02,5.71
REQ-1053,FY2026,Program Management,0501 Financial Analyst,GS-11,44,26,9,2,45,Review,New Position,Remote,59.09,34.62,22.22
REQ-1054,FY2025,Operations,1515 Operations Research Analyst,GS-12,342,105,33,8,114,Selected,Backfill,Hybrid,30.7,31.43,24.24
REQ-1055,FY2026,Policy,0501 Financial Analyst,GS-11,337,94,23,2,37,Review,Temporary Surge,"Washington, DC",27.89,24.47,8.7
REQ-1056,FY2024,Human Resources,0501 Financial Analyst,GS-11,125,55,18,1,135,Interview,Temporary Surge,Hybrid,44.0,32.73,5.56
REQ-1057,FY2024,Policy,0201 HR Specialist,GS-13,35,21,8,2,101,Review,New Position,Remote,60.0,38.1,25.0
REQ-1058,FY2025,Operations,2210 IT Specialist,GS-13,230,90,35,10,124,Interview,New Position,"Washington, DC",39.13,38.89,28.57
REQ-1059,FY2024,IT Services,0201 HR Specialist,GS-9,180,88,26,3,35,Selected,Temporary Surge,"Washington, DC",48.89,29.55,11.54
REQ-1060,FY2025,Policy,0201 HR Specialist,GS-12,227,116,40,5,81,Open,Backfill,Hybrid,51.1,34.48,12.5
REQ-1061,FY2025,IT Services,0201 HR Specialist,GS-13,251,119,38,11,85,Selected,New Position,"Baltimore, MD",47.41,31.93,28.95
REQ-1062,FY2025,Policy,0301 Program Analyst,GS-9,321,152,31,4,79,Selected,Temporary Surge,"Arlington, VA",47.35,20.39,12.9
REQ-1063,FY2025,IT Services,0201 HR Specialist,GS-9,263,148,64,5,100,Review,New Position,Remote,56.27,43.24,7.81
REQ-1064,FY2024,Finance,0301 Program Analyst,GS-12,37,21,8,1,111,Interview,New Position,Hybrid,56.76,38.1,12.5
REQ-1065,FY2026,IT Services,0343 Management Analyst,GS-11,54,29,12,2,118,Interview,Temporary Surge,Remote,53.7,41.38,16.67
REQ-1066,FY2024,IT Services,0201 HR Specialist,GS-11,259,66,26,7,101,Review,Temporary Surge,"Arlington, VA",25.48,39.39,26.92
REQ-1067,FY2025,Finance,1515 Operations Research Analyst,GS-13,53,21,7,2,46,Cancelled,Backfill,Hybrid,39.62,33.33,28.57
REQ-1068,FY2026,IT Services,0201 HR Specialist,GS-12,137,63,23,2,46,Interview,Backfill,"Baltimore, MD",45.99,36.51,8.7
REQ-1069,FY2024,Program Management,0201 HR Specialist,GS-9,150,74,14,4,108,Open,Temporary Surge,"Washington, DC",49.33,18.92,28.57
REQ-1070,FY2026,Finance,1515 Operations Research Analyst,GS-13,292,107,46,12,67,Selected,Backfill,Hybrid,36.64,42.99,26.09
REQ-1071,FY2026,Human Resources,0501 Financial Analyst,GS-9,282,157,58,17,93,Selected,Backfill,"Washington, DC",55.67,36.94,29.31
REQ-1072,FY2025,Finance,0201 HR Specialist,GS-9,230,116,52,11,64,Selected,Temporary Surge,"Baltimore, MD",50.43,44.83,21.15
REQ-1073,FY2024,Program Management,2210 IT Specialist,GS-12,162,59,15,4,78,Open,New Position,Hybrid,36.42,25.42,26.67
REQ-1074,FY2024,Operations,1515 Operations Research Analyst,GS-11,172,56,21,6,59,Interview,Backfill,"Arlington, VA",32.56,37.5,28.57
